policy,param,value,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate,decision_latency_mean_ms
linucb,policy.linucb.alpha,1.0,ramp,101,0.3194426590079361,0.0,3.296879303621735,5.493918595993676,0.337037037037037,0.12586259259179583
linucb,policy.linucb.alpha,1.0,ramp,102,0.31487095264476667,0.0,3.297392038529191,5.509737858551823,0.35555555555555557,0.12278703703798412
linucb,policy.linucb.alpha,1.0,ramp,103,0.3033734622142255,0.003703703703703704,3.2693507524183945,5.657692734130397,0.3333333333333333,0.11569777777843362
linucb,policy.linucb.alpha,1.0,ramp,104,0.31539366249879286,0.0,3.2636992329083463,5.532046435137756,0.2962962962962963,0.15413185185016792
linucb,policy.linucb.alpha,1.0,sawtooth,100,0.3434600491250638,0.007407407407407408,3.4350615111666927,5.361939208902968,0.2111111111111111,0.14030629629654937
linucb,policy.linucb.alpha,1.0,sawtooth,101,0.3364793793350322,0.011111111111111112,3.3585966823089475,5.116671387473274,0.07407407407407407,0.10219259259269232
linucb,policy.linucb.alpha,1.0,sawtooth,102,0.32748438564165433,0.014814814814814815,3.427742636960232,5.433298290811991,0.16296296296296298,0.11617814814902279
linucb,policy.linucb.alpha,1.0,sawtooth,103,0.3418773822111306,0.011111111111111112,3.403183305448157,5.251001682316789,0.17777777777777778,0.1067562962957793
linucb,policy.linucb.alpha,1.0,sawtooth,104,0.33577877085824714,0.011111111111111112,3.399146836533278,5.257419166326535,0.12222222222222222,0.11334999999740426
linucb,policy.linucb.alpha,2.0,adversarial,100,0.15464053954395182,0.040740740740740744,4.257218190979132,5.0216060625472085,0.17407407407407408,0.10287592592408988
linucb,policy.linucb.alpha,2.0,adversarial,101,0.12929915074018852,0.04814814814814815,4.234315167818054,6.160650732814787,0.1925925925925926,0.10131666666729365
linucb,policy.linucb.alpha,2.0,adversarial,102,0.18351953065171348,0.037037037037037035,4.494809701560561,5.660897945904693,0.18518518518518517,0.12948851851783055
linucb,policy.linucb.alpha,2.0,adversarial,103,0.15295035688626876,0.040740740740740744,4.2350955144171625,5.731779952438102,0.1814814814814815,0.13186000000010373
linucb,policy.linucb.alpha,2.0,adversarial,104,0.19607738566161972,0.037037037037037035,4.614547453969353,6.082018896646301,0.17407407407407408,0.13818222221962734
linucb,policy.linucb.alpha,2.0,burst,100,0.1434591963421456,0.014814814814814815,2.712093829576999,5.335764362939377,0.1962962962962963,0.11293703703569447
linucb,policy.linucb.alpha,2.0,burst,101,0.14368742479475285,0.014814814814814815,2.7228664360019064,5.326133966329038,0.26296296296296295,0.11375814814890098
linucb,policy.linucb.alpha,2.0,burst,102,0.1429801364215129,0.014814814814814815,2.692578405017581,5.309378328624111,0.12222222222222222,0.10759555555426703
linucb,policy.linucb.alpha,2.0,burst,103,0.1288025028180119,0.018518518518518517,2.664119658714178,5.263045623078838,0.2037037037037037,0.11750111111112986
linucb,policy.linucb.alpha,2.0,burst,104,0.13536882952981305,0.018518518518518517,2.6944660374227163,5.329216300755791,0.15555555555555556,0.1196129629637131
linucb,policy.linucb.alpha,2.0,ramp,100,0.28802014433720685,0.007407407407407408,3.2409608622700974,5.564091431853927,0.337037037037037,0.18906888888889423
linucb,policy.linucb.alpha,2.0,ramp,101,0.28887361065642336,0.007407407407407408,3.2247667047744684,5.597447590319123,0.29259259259259257,0.1342944444439177
linucb,policy.linucb.alpha,2.0,ramp,102,0.29228023210257087,0.003703703703703704,3.21907357555655,5.573602689925031,0.3111111111111111,0.15875481481446985
linucb,policy.linucb.alpha,2.0,ramp,103,0.2907710791645482,0.003703703703703704,3.2061514652332406,5.639064933059635,0.337037037037037,0.12360111111004496
linucb,policy.linucb.alpha,2.0,ramp,104,0.28350764306803794,0.003703703703703704,3.1788702217256306,5.755883473808305,0.337037037037037,0.1235718518530491
linucb,policy.linucb.alpha,2.0,sawtooth,100,0.30450920025705275,0.018518518518518517,3.321175377871039,5.328200635389144,0.1962962962962963,0.11675333333532426
linucb,policy.linucb.alpha,2.0,sawtooth,101,0.32744984641893393,0.011111111111111112,3.359905466985177,5.44936600702689,0.23703703703703705,0.11828851851915985
linucb,policy.linucb.alpha,2.0,sawtooth,102,0.31105155937428325,0.018518518518518517,3.3468014404519106,5.328238717131643,0.2037037037037037,0.12380259259261779
linucb,policy.linucb.alpha,2.0,sawtooth,103,0.32166927985256016,0.014814814814814815,3.3384361331414825,5.2764655391622375,0.17407407407407408,0.1480144444422472
linucb,policy.linucb.alpha,2.0,sawtooth,104,0.30484707663336097,0.018518518518518517,3.282776685548091,5.256106054435214,0.15555555555555556,0.14503851851962415
