w_sla,w_drop,policy,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate
0.25,1.0,threshold,sawtooth,100,0.27694298683446583,0.018518518518518517,3.5135522107160293,5.300167895106024,0.08888888888888889
0.25,1.0,threshold,sawtooth,101,0.30876403500734295,0.007407407407407408,3.542093561839008,5.234362730394207,0.08148148148148149
0.25,1.0,threshold,sawtooth,102,0.28021967012840204,0.018518518518518517,3.5335246483879126,5.409917894466877,0.09259259259259259
0.25,1.0,linucb,adversarial,100,0.005344395225297581,0.044444444444444446,4.626145916035228,5.412617537784214,0.17777777777777778
0.25,1.0,linucb,adversarial,101,0.030801250830009955,0.044444444444444446,4.761140489982803,5.809213171920344,0.18888888888888888
0.25,1.0,linucb,adversarial,102,-0.006707049926690807,0.040740740740740744,4.62921004884264,5.583706675311096,0.17777777777777778
0.25,1.0,linucb,burst,100,0.01188555620859594,0.003703703703703704,2.8793276113756456,5.316170812956744,0.4925925925925926
0.25,1.0,linucb,burst,101,-0.0020897185398033534,0.007407407407407408,2.812253591330255,5.245834595711047,0.02962962962962963
0.25,1.0,linucb,burst,102,-0.014263510955373619,0.011111111111111112,2.790630378354888,5.253984732905395,0.04814814814814815
0.25,1.0,linucb,ramp,100,0.23989054640631302,0.0,3.353677166800358,5.282838905744487,0.14074074074074075
0.25,1.0,linucb,ramp,101,0.2357559799319589,0.0,3.3317463468710886,5.543332743062131,0.42592592592592593
0.25,1.0,linucb,ramp,102,0.21353731910037768,0.003703703703703704,3.306778369789151,5.629245711686627,0.44074074074074077
0.25,1.0,linucb,sawtooth,100,0.2801060477164856,0.014814814814814815,3.4755103321142946,5.4982895277518,0.3037037037037037
0.25,1.0,linucb,sawtooth,101,0.2990182168730707,0.007407407407407408,3.438444122443748,5.255170958113571,0.1037037037037037
0.25,1.0,linucb,sawtooth,102,0.2859976702843094,0.011111111111111112,3.4266363342342085,5.229480755017001,0.1814814814814815
